Data,Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12,
2012.11,1067.74996881593,
2012.12,1059.90653742729,
2013.01,1144.79963192639,
2013.02,1138.87629054726,
2013.03,1132.08453430959,
2013.04,1125.44412425631,
2013.05,1121.51823844811,
2013.06,1118.38553858982,
2013.07,1119.84158359011,
2013.08,1118.05342620619,
2013.09,1115.04140222534,
2013.10,1108.28111516504,
2013.11,1102.32940904538,
2013.12,1094.44787772774,
2014.01,1161.38777227071,
2014.02,1154.00134954805,
2014.03,1144.61491357975,
2014.04,1135.75694709454,
2014.05,1128.98388308525,
2014.06,1126.05482191599,
2014.07,1124.59322399867,
2014.08,1122.57149575057,
2014.09,1117.09940773599,
2014.10,1112.87077545411,
2014.11,1107.00312053175,
2014.12,1100.18198795484,
2015.01,1179.97391452442,
2015.02,1166.44061645806,
2015.03,1149.09148956755,
2015.04,1140.99122614408,
2015.05,1129.80450562467,
2015.06,1121.17358901056,
2015.07,1114.70735636859,
2015.08,1111.92702324379,
2015.09,1106.28507686439,
2015.10,1097.8320495779,
2015.11,1085.77940971618,
2015.12,1076.09446583617,
2016.01,1183.85362588323,
2016.02,1172.71399551622,
2016.03,1167.57469568425,
2016.04,1160.15135706982,
2016.05,1148.89186318688,
2016.06,1143.51734698486,
2016.07,1136.24517634389,
2016.08,1132.73348352623,
2016.09,1131.82905496694,
2016.10,1129.9076346437,
2016.11,1129.1175486991,
2016.12,1127.53840486725,
2017.01,1195.5511364438,
2017.02,1192.68812532171,
2017.03,1188.88250797698,
2017.04,1187.93251624661,
2017.05,1183.67036894397,
2017.06,1187.2311170266,
2017.07,1185.21712799139,
2017.08,1185.57245932177,
2017.09,1185.80946526491,
2017.10,1181.43778481517,
2017.11,1179.31441755603,
2017.12,1176.25558803233,
2018.01,1194.84794995371,
2018.02,1192.70064894285,
2018.03,1191.86740896281,
2018.04,1189.36997518611,
2018.05,1184.27863590104,
2018.06,1167.58327324047,
2018.07,1164.67190308323,
2018.08,1164.67190308323,
2018.09,1161.18754326058,
2018.10,1156.56221944755,
2018.11,1159.45984768056,
2018.12,1157.83938513213,
2019.01,1206.89546998392,
2019.02,1200.41283798804,
2019.03,1191.23941202867,
2019.04,1184.13503939664,
2019.05,1182.36220964615,
2019.06,1182.24494714643,
2019.07,1181.06476861675,
2019.08,1179.64901778829,
2019.09,1180.23960366816,
2019.10,1179.76796888276,
2019.11,1173.43105596984,
2019.12,1159.28702861001,
2020.01,1204.62529875334,
2020.02,1209.52606925351,
2020.03,1207.351742552,
2020.04,1210.13451393157,
2020.05,1213.16814443293,
2020.06,1209.53933788105,
2020.07,1204.23967139227,
2020.08,1199.919203883,
2020.09,1189.56895327113,
2020.10,1179.07622372886,
2020.11,1167.98078926275,
2020.12,1151.17459381107,
2021.01,1208.49896654594,
2021.02,1198.66993259293,
2021.03,1188.44957879934,
2021.04,1183.94973570611,
2021.05,1172.69276561634,
2021.06,1165.69838293883,
2021.07,1153.92884188688,
2021.08,1143.86202659728,
2021.09,1130.29919378531,
2021.10,1117.33741311478,
2021.11,1108.03028302022,
2021.12,1100,
